,name,rating,total_rating_given,price_level,address
262,Jollibee,2.8,4,$$,"Shop #02, Alankar Shopping Complex (2nd Floor ),Alankar More, Pahartali"
263,bonjour Buffet Lunch & Dinner Everyday,4.5,64,$$,"Golden Plaza, 1692 CDA Ave"
264,Senang Bowl,3.8,398,$$,"Innovative Bhuiyan Orchid, 1025/Ka, 4226 Chittagong"
265,Kathkoyla,3.9,131,$$,"Kashfia Plaza, 923 /A Sheikh Mujib Rd"
266,Kutumbari Restaurant And Biriyani House,3.8,"1,226",$$,"Anjuman Tower (Ground Floor), A.K, khan Circle"
267,Swapnil Restaurant,4.0,185,$$,"46, Buddhist Temple Road"
268,Sherebangla Restora,3.9,48,not specified,"K N Tower, Sheikh Mujib Rd"
269,Food Plaza Cafe & Restaurant,3.9,55,$$,"Zakir Hossain Road, Opposite of TV Tower Foy's Lake, Khulshi"
270,Adda Restaurant,3.9,79,$$,"RF Police Plaza, কে সি দে সড়ক"
271,EXCELENTE MULTI CUISINE RESTAURANT,4.3,42,not specified,Naval Ave
272,Hotel Zaman & Restaurant,3.9,748,$$,"811, Hazrat Taybia Tower, 1st & 2nd Floor, Dhaka - Chittagong Highway, Akbar Shah Market, A.K Khan Circle, North Pahartoli"
273,KRAVE,4.4,318,$$$,"6th Floor, Innovative Bhuiyan Orchid, 1025/A Bayazid Bostami Rd"
274,White Leaf,5.0,1,$$,Not Provided
275,Segafredo Espresso Chittagong,4.3,850,$$$,"1025/A, Innovative Bhuiyan Orchid"
276,The Chittagong Hotel And Restaurant,3.7,28,$$,"Wireless Moor, Pahartoli College Road, Murgir Farm Gate, Khulshi"
277,Sultan’s Dine - Chittagong,4.1,972,$$,"East Nasirabad Mosque, SAF Arcadia, 4000 Bayazid Bostami Rd"
278,Fusion Eats,4.2,242,not specified,81 Shahid Saifuddin Khaled Rd
279,Bird's Bench (Chinese Restaurant),5.0,1,not specified,Sheikh Mujib Rd
280,KAI Restaurant,3.9,424,$$$,9R65+VMJ
281,Dhaba,3.8,595,$$,"Shop No. 4/5, Zakir Hossain Road Punak Bhaban, Dampara"
282,Mezzan Haile Ayun,4.2,"1,611",$$,95 K.B. Fazlul Kader Rd
283,Snowva The Restaurant,3.8,92,not specified,"1558, Millennium Tower, Agrabad Access Road Hajipara, Opposite Singapore Market"
284,Flamingo Cafe,3.9,43,$$,"486/B, O.R. Nizam Rd"
